"","V1","V2","V3","V4","V5","V6","V7"
"ac_c",-0.158002569137895,-0.133994121627671,-0.0351535516560655,-0.233533138575735,0.00343312051313927,0.126282137994969,0.0267431210469047
"ala__L_c",0.175035180739503,-0.0762867551995625,0.156446568367509,-0.0654279975160632,0.00487889944366993,-0.0137097129283239,-0.00285095524482459
"arg__L_c",-0.0359855427922335,-0.0113545677276004,-0.0369251389955574,-0.0197776578755593,-0.0118136392633916,-0.0127532354667155,-0.0211763256146744
"asn__L_c",-0.112109244029468,-0.352536251518295,-0.102374409164528,-0.387195197498901,-0.0133544191180239,-0.00361958425308373,-0.0382785302336897
"asp__L_c",0.0383010174405785,-0.0276347094821858,0.0396042681890143,-0.0662784978510511,0.046465469529656,0.0477687202780919,0.00912493190922659
"glc__D_c",-0.271292633157191,-0.962893570242665,-0.0457195853024137,-0.909834925458329,0.0441901532770721,0.269763201131849,0.322821845916185
"cit_c",0.844685663873338,0.0303204395033092,0.348846314435712,0.127768744073056,0.624888393496549,0.129049044058922,0.226497348628669
"etoh_c",0.060852871773978,-0.0988036563033172,-0.0612417582951488,0.0120544241257763,0.0365307107451573,-0.0855639193239695,0.0252941611051241
"fdp_c",-0.76006380975348,0.893474682513223,0.23491158170231,0.206534698150763,-0.282608347158588,0.712367044297202,0.0254270599347417
"galt_c",0.0838889986251505,-0.0424711633069854,-0.0948101491834981,0.174167093878459,0.0167205439262643,-0.161978603882384,0.0546596533030606
"glu__L_c",0.0121065772939799,0.0786405571202944,-0.0201937663016309,0.0732832773159386,0.0149007957144747,-0.0173995478811362,-0.0227568276854919
"gln__L_c",0.145487471890423,0.107381172830989,-0.02860963061704,0.186225889471951,0.0974662653056866,-0.0766308372017765,0.0022138794391855
"gthrd_c",0.108978665916138,0.0779712365605101,0.00659122806827517,0.225735404536493,-0.120932632024893,-0.223320069872756,-0.0755559018967724
"glyc_c",-0.634384709234301,0.395475736859611,-0.193668695896672,-0.100581470675565,-0.0643338105016871,0.376382202835943,-0.119675004699233
"gly_c",-0.126874418423689,0.126707117028574,0.0134106168971027,-0.107065630314287,0.0494098422444815,0.189694877565273,-0.0440778697775883
"g3pc_c",0.159426589174428,0.100270604750592,0.0702268736401312,0.174265078290299,0.0530407256184127,-0.0361589899158838,0.037835483623823
"his__L_c",0.0805294918674637,-0.110006685185352,0.0586831552967846,-0.0598991768909285,-0.0195195704992697,-0.0413659070699488,0.00874160122447432
"ile__L_c",-0.0912598897399202,-0.286789446540881,-0.200368101538365,0.0499570571247818,0.174866905552551,0.0657586937541059,0.402505197419769
"lac__L_c",0.0544812764694762,0.00147995832733283,0.152475322459369,-0.041913234297871,0.067313606408574,0.165307652398467,0.121914459773263
"leu__L_c",0.0580987600494096,0.00373607053733771,-0.11057061876542,0.0389549027188441,-0.0116551643943652,-0.180324543209195,-0.145105711027689
"lys__L_c",-0.0142689315355495,-7.28294932619278e-05,-0.0230470995740979,-0.0163558915121382,-0.00344853382121002,-0.0122267018597584,-0.0285097638786347
"inost_c",-0.643470014347539,0.874237701192463,0.342388026987473,0.185799696480286,-0.285392203143871,0.700465838191141,0.0120278334789647
"nad_c",-0.349166288912191,0.243657307882979,-0.271390665389964,0.17655731306925,0.00724799786065389,0.0850236213828808,0.0179236265691514
"phe__L_c",0.0144741181588963,0.132590766031692,-0.0199763709011667,0.0599549913138295,0.0462946735579413,0.0118441844978783,-0.0607915902199838
"pro__L_c",-0.351753713027551,-0.311311886443783,0.307811912854091,-0.676428981806473,-0.314881532375325,0.344684093506317,-0.0204330018563733
"ser__L_c",0.828922209221698,0.224851013583728,0.583668650181978,0.582130386688243,0.0736820176438624,-0.171571541395858,0.185707831708656
"succ_c",-1.22844119409054,0.880855643302905,-0.846072505092519,0.75979909160842,0.184403123319463,0.56677181231748,0.445715260622995
"thm_c",0,0.338004606878569,0,0,0,0,-0.338004606878569
"thm_c",-0.0319749659571014,0.0686207851160872,-0.113746540023975,0.182022405777644,-0.0502403373401652,-0.132011911407039,-0.0186102907454824
"tre_c",2.05429722662431,0.258587140753735,1.90439936444676,0.564410761349014,0,-0.149897862177543,0.155925758417736
"udpg_c",-0.367831615960909,-0.0306660134863484,-0.941191393737078,0.665337189267555,0.216034182404457,-0.357325595371711,0.338677607382192
"val__L_c",0.00563681370515079,-0.107363445410881,-0.117975687255916,-0.0325917023921511,0.0288025605533004,-0.0948099404077662,-0.0200381973890364
"glcur_c",-0.0578481436734617,0.279892171365669,0.0650605816283762,0.0931123637870337,0.0708693004690928,0.193778025770931,0.00699821819229585
"uk1",-0.074452742677924,-0.00907176401784326,-0.0950080243344451,-0.0336276547580434,0.0689840173732885,0.0484287357167674,0.0238728449765673
"uk2",-0.00751198763699557,0.16050918387596,-0.0717624812120989,0.187496011299484,0.103362649246931,0.0391121556718277,0.0660989830953513
"uk3",-0.454964611886347,0.422965870865095,-0.0747915892458273,-0.0532364697599301,0.109992751372865,0.490165774013385,0.0139634333883603
